cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
",12,Comarca Ngäbe-Buglé,1203,Müna,LEY N° 69 del 28 de octubre de 1998,""LEY N° 8  del 15 de febrero de 2006, LEY N° 31 del 10 de mayo de 2012"",GA 23664,""GA 25495, GA 27032-A"",Tierra,338052.221659761678893,799506968.964860796928406"
,12,Comarca Ngäbe-Buglé,1204,Nole Duima,LEY N° 69 del 28 de octubre de 1998,LEY N° 8  del 15 de febrero de 2006,GA 23664,GA 25495,Tierra,125500.268481344523025,185048275.043527960777283
,12,Comarca Ngäbe-Buglé,1205,Ñürüm,LEY N° 69 del 28 de octubre de 1998,LEY N° 31 del 10 de mayo de 2012,GA 23664,GA 27032-A,Tierra,494046.320772107515950,581859581.471274137496948
,12,Comarca Ngäbe-Buglé,1206,Kankintú,LEY N° 69 del 28 de octubre de 1998,LEY N° 33  del 10 de mayo de 2012,GA 23664,GA 27032-B,Tierra,212875.845686604094226,1044457993.257758617401123
,12,Comarca Ngäbe-Buglé,1207,Kusapín,LEY N° 69 del 28 de octubre de 1998,LEY N° 33  del 10 de mayo de 2012,GA 23664,GA 27032-B,Tierra,278850.537020303832833,843425194.133315682411194
,12,Comarca Ngäbe-Buglé,1208,Jirondai,LEY N° 33  del 10 de mayo de 2012,N/A,GA 27032-B,N/A,Tierra,391681.293468127434608,1379086491.326295614242554
,12,Comarca Ngäbe-Buglé,1209,Santa Catalina o Calovébora (Bledeshia),LEY N° 33  del 10 de mayo de 2012,N/A,GA 27032-B,N/A,Tierra,177140.115508131246315,902825391.875988602638245
,13,Panamá Oeste,1301,Arraiján,LEY Nº 1 del 27 de octubre de 1982,LEY N° 119 del 30 de diciembre de 2013,GA 20006,GA 27443-A,Masa de Agua - Lago,170638.157672388042556,17901512.003509949892759
,13,Panamá Oeste,1301,Arraiján,LEY Nº 1 del 27 de octubre de 1982,LEY N° 119 del 30 de diciembre de 2013,GA 20006,GA 27443-A,Tierra,214589.095538615307305,415750875.134833753108978
,13,Panamá Oeste,1303,Capira,LEY Nº 1 del 27 de octubre de 1982,LEY N° 119 del 30 de diciembre de 2013,GA 20006,GA 27443-A,Tierra,229449.876900249859318,974018490.946798682212830
,13,Panamá Oeste,1304,Chame,LEY Nº 1 del 27 de octubre de 1982,LEY N° 119 del 30 de diciembre de 2013,GA 20006,GA 27443-A,Tierra,123627.689878152756137,375315560.980080544948578
,13,Panamá Oeste,1307,La Chorrera,LEY Nº 1 del 27 de octubre de 1982,LEY N° 119 del 30 de diciembre de 2013,GA 20006,GA 27443-A,Masa de Agua - Lago,581003.522524811094627,108753677.288518816232681
,13,Panamá Oeste,1307,La Chorrera,LEY Nº 1 del 27 de octubre de 1982,LEY N° 119 del 30 de diciembre de 2013,GA 20006,GA 27443-A,Tierra,665088.837077776319347,787868400.797886371612549
,13,Panamá Oeste,1309,San Carlos,LEY Nº 1 del 27 de octubre de 1982,LEY N° 119 del 30 de diciembre de 2013,GA 20006,GA 27443-A,Tierra,99595.778637670693570,336756817.845248043537140
,02,Coclé,0201,Aguadulce,LEY N° 1 del 22 de agosto de 1916,LEY N° 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,151833.482486571854679,470029824.753891468048096
,02,Coclé,0204,Natá,LEY N° 1 del 22 de agosto de 1916,LEY N° 58 del 29 de julio de 1998,GA 02404,GA 23602,Tierra,266669.816263811546378,613050711.741304636001587
