cod_obj,cod_prov,nomb_prov,cod_dist,nomb_dist,cod_corr,nomb_corr,ley,ley_modi,gace,gace_modi,uso,Shape_Length,Shape_Area
,03,Colón,0301,Colón,030114,Santa Rosa,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,34326.396834749299160,27538609.627393826842308
,03,Colón,0301,Colón,030115,Cristóbal Este,LEY N° 20 del 30 de septiembre de 2014,N/A,GA 27634-A,N/A,Tierra,59759.226828557213594,28908940.813852332532406
,03,Colón,0302,Chagres,030201,Nuevo Chagres ,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,14423.404771863386486,5718137.746747362427413
,03,Colón,0302,Chagres,030202,Achiote,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,54952.710513457976049,62038536.934271119534969
,03,Colón,0302,Chagres,030203,El Guabo,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,48318.200353135151090,52662480.078365728259087
,03,Colón,0302,Chagres,030204,La Encantada,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,85574.404457558441209,135474457.382824391126633
,03,Colón,0302,Chagres,030205,Palmas Bellas,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,61732.740438203167287,55371355.990988351404667
,03,Colón,0302,Chagres,030206,Piña,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,30980.304247412987024,29869351.635917603969574
,03,Colón,0302,Chagres,030207,Salud,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,60132.743461780548387,106037965.142268285155296
,03,Colón,0303,Donoso,030301,Miguel de La Borda ,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,121980.813761033874471,310466988.599255502223969
",03,Colón,0303,Donoso,030302,Coclé del Norte,LEY Nº 1 del 27 de octubre de 1982,""LEY N° 11 del 20 de febrero de 2018, "",GA 19981,GA 28469-B ,Tierra,288409.446226417378057,931704450.170999050140381"
,03,Colón,0303,Donoso,030303,El Guásimo,LEY Nº 1 del 27 de octubre de 1982,LEY N° 296 del 26 de abril de 2022,GA 19981,GA 29524-B,Tierra,96984.012796850729501,295076664.925568878650665
,03,Colón,0303,Donoso,030304,Gobea,LEY Nº 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,44865.261270792711002,53595488.107595302164555
,03,Colón,0303,Donoso,030305,Río Indio,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,67815.943330644775415,36449656.380943112075329
,03,Colón,0304,Portobelo,030402,Cacique,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,24237.525363285625644,11683613.507264470681548
,03,Colón,0304,Portobelo,030403,Puerto Lindo o Garrote,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,40477.481538462816388,24665068.484895974397659
,03,Colón,0304,Portobelo,030404,Isla Grande,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,45327.661382920901815,26915084.775341518223286
,03,Colón,0304,Portobelo,030405,María Chiquita,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,66092.423816616137628,90801260.251581519842148
,03,Colón,0305,Santa Isabel,030501,Palenque ,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,69454.746099378578947,68633587.329524070024490
,03,Colón,0305,Santa Isabel,030502,Cuango,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,37005.113376054432592,46053927.665161535143852
,03,Colón,0305,Santa Isabel,030503,Miramar,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,29222.494588250669040,15936971.605723228305578
,03,Colón,0305,Santa Isabel,030504,Nombre de Dios,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,80083.625890571420314,150309110.824782967567444
,03,Colón,0305,Santa Isabel,030505,Palmira,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,91296.530755792104173,176902871.641288161277771
,03,Colón,0305,Santa Isabel,030506,Playa Chiquita,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,88204.828453362672008,113037526.247103199362755
,03,Colón,0305,Santa Isabel,030507,Santa Isabel,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,71004.960422649572138,134368336.520976871252060
,03,Colón,0305,Santa Isabel,030508,Viento Frío,LEY N° 1 del 27 de octubre de 1982,N/A,GA 19981,N/A,Tierra,36092.347129623762157,34640445.571962609887123
,03,Colón,0306,Omar Torrijos Herrera,030601,San José  del General ,LEY N° 1 del 27 de octubre de 1982,LEY N° 11 del 20 de febrero de 2018,GA 19981,GA 28469-B,Tierra,55546.661632877956436,62703558.143429175019264
,03,Colón,0306,Omar Torrijos Herrera,030602,Nueva Esperanza,LEY N° 11 del 20 de febrero de 2018,N/A,GA 28469-B,N/A,Tierra,55763.010837895570148,79756242.017160892486572
,03,Colón,0306,Omar Torrijos Herrera,030603,San Juan de Turbe,LEY N° 11 del 20 de febrero de 2018,N/A,GA 28469-B,N/A,Tierra,41524.770386223630339,55057650.205091871321201
,04,Chiriquí,0401,Alanje,040101,Alanje ,LEY N° 1 del 27 de octubre de 1982,LEY Nº 41 del 30 de abril de 2003,GA 20047,GA 24794,Tierra,30728.694961354260158,20801009.657341808080673
,04,Chiriquí,0401,Alanje,040102,Divalá,LEY N° 1 del 27 de octubre de 1982,LEY Nº 41 del 30 de abril de 2003,GA 20047,GA 24794,Tierra,58648.190224445352214,61449047.274652473628521
,04,Chiriquí,0401,Alanje,040103,El Tejar,LEY N° 1 del 27 de octubre de 1982,LEY Nº 41 del 30 de abril de 2003,GA 20047,GA 24794,Tierra,27333.540019276188104,35413614.956575974822044
,04,Chiriquí,0401,Alanje,040104,Guarumal,LEY N° 1 del 27 de octubre de 1982,LEY Nº 41 del 30 de abril de 2003,GA 20047,GA 24794,Tierra,67641.845994747418445,91376338.148363783955574
,04,Chiriquí,0401,Alanje,040105,Palo Grande,LEY N° 1 del 27 de octubre de 1982,LEY Nº 41 del 30 de abril de 2003,GA 20047,GA 24794,Tierra,32819.492605534564063,41002602.994650803506374
,04,Chiriquí,0401,Alanje,040106,Querévalo,LEY N° 1 del 27 de octubre de 1982,LEY Nº 41 del 30 de abril de 2003,GA 20047,GA 24794,Tierra,45385.482627244447940,36677619.324667744338512
,04,Chiriquí,0401,Alanje,040107,Santo Tomás,LEY N° 1 del 27 de octubre de 1982,LEY Nº 41 del 30 de abril de 2003,GA 20047,GA 24794,Tierra,53568.275929380819434,56408876.015235565602779
,04,Chiriquí,0401,Alanje,040108,Canta Gallo,LEY Nº 41 del 30 de abril de 2003,N/A,GA 24794,N/A,Tierra,43531.943627671920694,38103492.009966433048248
,04,Chiriquí,0401,Alanje,040109,Nuevo México,LEY Nº 41 del 30 de abril de 2003,N/A,GA 24794,N/A,Tierra,54401.009397426809301,73961417.538273677229881
,04,Chiriquí,0402,Barú,040202,Limones,LEY N° 1 del 27 de octubre de 1982,LEY N° 5 del 19 de enero de 1998,GA 20047,GA 23464,Tierra,53668.695547085488215,56168277.575645878911018
,04,Chiriquí,0402,Barú,040204,Baco,LEY N° 1 del 27 de octubre de 1982,LEY Nº 5 del 19 de enero de 1998,GA 20047,GA 23464,Tierra,56331.552163103486237,75470811.741960600018501
",04,Chiriquí,0402,Barú,040205,Rodolfo Aguilar Delgado,LEY N° 1 del 27 de octubre de 1982,""LEY N° 5 del 19 de enero de 1998, LEY N° 46 del 14 de agosto de 2018"",GA 20047,""GA 23464, GA 28591-B"",Tierra,79296.491647579794517,109686855.691766396164894"
,04,Chiriquí,0403,Boquerón,040301,Boquerón ,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,42909.755417432606919,40563397.212636612355709
,04,Chiriquí,0403,Boquerón,040302,Bágala,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,36614.406333344129962,43342733.843485504388809
,04,Chiriquí,0403,Boquerón,040303,Cordillera,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,54005.539857947733253,48767694.423710882663727
,04,Chiriquí,0403,Boquerón,040304,Guabal,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,39443.252763734548353,32386997.780257832258940
,04,Chiriquí,0403,Boquerón,040305,Guayabal,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,52315.143978472915478,57641480.717527687549591
,04,Chiriquí,0403,Boquerón,040306,Paraíso,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,47541.365561908416566,36421228.647556036710739
,04,Chiriquí,0403,Boquerón,040307,Pedregal,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,29911.040229114260001,20837956.036650881171227
,04,Chiriquí,0403,Boquerón,040308,Tijeras,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,19861.729379320790031,18192875.198140673339367
,04,Chiriquí,0404,Boquete,040401,Boquete ,LEY N° 1 del 27 de octubre de 1982,LEY N° 58 del 29 de julio de 1998,GA 20047,GA 23602,Tierra,29256.699364560849062,19163262.993999943137169
,04,Chiriquí,0404,Boquete,040402,Caldera,LEY N° 1 del 27 de octubre de 1982,LEY N° 59 del 29 de julio de 1998,GA 20047,GA 23602,Tierra,74431.149409078032477,146610811.905296504497528
,04,Chiriquí,0404,Boquete,040403,Palmira,LEY N° 1 del 27 de octubre de 1982,LEY N° 58 del 29 de julio de 1998,GA 20047,GA 23602,Tierra,47167.985974808834726,56372845.068388663232327
,04,Chiriquí,0404,Boquete,040404,Alto Boquete,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,57592.389011008606758,88072918.016871422529221
,04,Chiriquí,0404,Boquete,040405,Jaramillo,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,47187.405706226505572,68988611.175666138529778
,04,Chiriquí,0404,Boquete,040406,Los Naranjos,LEY N° 1 del 27 de octubre de 1982,N/A,GA 20047,N/A,Tierra,58875.416709855519002,110556514.311170294880867
,04,Chiriquí,0405,Bugaba,040501,La Concepción ,LEY N° 1 del 27 de octubre de 1982,LEY N° 55 del 13 de septiembre de 2013,GA 20047,GA 27374,Tierra,60505.444185886524792,43005111.574853323400021
